mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
14.419301748275757,0.8511387309750722,2.779717206954956,0.7704317174405704,,1,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-638.3205923284588,-570.4030014454958,-518.7578035031348,-575.8271324256965,48.961760695397345,24
18.589903910954792,1.345418566498995,1.4908069769541423,0.8349805063294203,,1,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-631.7896229327746,-571.0765103340734,-512.2298841754357,-571.6986724807613,48.812041528249694,21
8.392298936843872,0.5634865583213827,1.4560895760854085,0.6344525453679157,,1,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-608.3021196436179,-551.2556742172654,-496.15533571965676,-551.9043765268467,45.78603059985834,17
12.799262682596842,1.3329452690501207,2.444438934326172,0.1480092892842458,,1,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-605.8865272725701,-555.2758044555239,-495.98890552396847,-552.3837457506876,44.91209799273721,18
9.850411732991537,0.69527768105734,2.204693078994751,0.10282889398478999,,2,2,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-594.0853956180335,-521.1906174467347,-489.3056197049672,-534.8605442565785,43.85468834182546,11
17.80393107732137,0.0985238980267526,1.8308095932006836,0.2644141869836948,,2,2,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-588.8074388819124,-525.2995696461501,-488.23743627646957,-534.114814934844,41.52800475293409,9
11.594804366429647,0.2027526745627029,2.250749111175537,0.568167644790697,,2,5,100,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-594.2547925811228,-517.3017529120579,-486.1553679484537,-532.5706378138781,45.43292151503727,6
13.780799150466919,1.3832132429851305,1.754799445470174,0.3525240448994611,,2,5,200,"{'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-589.1467917345723,-522.5526252653355,-485.58755340507065,-532.4289901349928,42.850794610489864,5
5.16140095392863,0.34510165098446494,2.3620687325795493,0.03642757304079638,10,1,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-628.66263720222,-543.4897337485104,-498.67728555634477,-556.9432188356917,53.912244165054744,20
7.33141287167867,0.7717827327529488,1.2108992735544841,0.4342906207838772,10,1,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-623.1859808819378,-548.6561943377787,-496.6432309634866,-556.1618020610676,51.932761013338784,19
3.4718568325042725,0.4706420815448618,0.8436688582102457,0.20399839175900758,10,1,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-604.0559625839402,-540.7223122459895,-488.2777201183164,-544.351998316082,47.335901264845205,13
4.206928412119548,0.23099715813165528,1.3653013706207275,0.312631276035566,10,1,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-600.5693012701114,-546.0388812655971,-489.95663082679306,-545.5216044541672,45.15891493474476,14
3.261603752772013,0.2641003085245891,1.0640406608581543,0.13394251797657747,10,2,2,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-590.2681644180254,-513.6851549777568,-484.8930670716369,-529.6154621558063,44.469531144222614,4
4.477003892262776,0.241539214511044,1.306067943572998,0.3764009742042304,10,2,2,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-585.8840004204994,-517.3024696488095,-483.2403915092343,-528.8089538595144,42.68666455893524,3
3.260263681411743,0.27090614770593274,0.9750482241312662,0.08377191226542786,10,2,5,100,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-589.9049442573848,-511.53584902132087,-482.780872726963,-528.0738886685563,45.26972308172339,2
4.4170747598012285,0.44202255608516444,2.0195871194203696,0.28378835959306375,10,2,5,200,"{'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-584.9552788536278,-515.9184407368226,-481.6204382780251,-527.4980526228252,42.97354129980557,1
12.979529937108358,0.8740089514806758,3.396111806233724,0.4636801543832535,20,1,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-641.7544135284398,-567.2905661747501,-516.5516649093742,-575.1988815375213,51.418791340326294,23
28.478256225585938,0.6690820862486407,3.0757893721262612,0.4743115043664185,20,1,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-634.6585439185101,-572.3746676452579,-512.8857652028632,-573.306325588877,49.71789348531308,22
11.549792289733887,0.15730982032201207,3.2049702803293862,0.23152969384720828,20,1,5,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-607.8896952984534,-548.8723511913352,-496.60275393527826,-551.121600141689,45.46053358040866,15
18.03281847635905,0.18556995605869822,2.3491950829823813,0.13808581130736544,20,1,5,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-605.4503522522808,-554.0047317171887,-494.9408197754967,-551.4653012483221,45.15104814131492,16
9.59653615951538,1.5059883657318922,2.271298329035441,0.08993727269681723,20,2,2,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-594.4086915914212,-522.2577868086676,-488.3909055547842,-535.0191279849577,44.21222764870064,12
17.16186984380086,0.18401220064051513,1.916265567143758,0.43214692383698605,20,2,2,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-588.6335260790206,-526.8890636999728,-487.823549019301,-534.4487129327648,41.501197501497366,10
10.660091718037924,0.6349401353340054,2.6925421555836997,0.8734762339757831,20,2,5,100,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-594.3022827208553,-519.193533096225,-487.31262204669514,-533.6028126212585,44.8509931150983,8
11.479126771291098,3.6010350914430096,0.3955079714457194,0.29634605585659346,20,2,5,200,"{'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-588.1747941046503,-524.0700763291494,-485.9260425264707,-532.7236376534235,42.18897875447885,7
